 Computed angles file for PUMA motor control
 calc7m1o.tag
 Eval_MLI v4.0
2	// File format
7	// Number of angle
0	// first slope : rising(1) falling(0)
ag1(tour)	ag2(tour)	ag3(tour)	ag4(tour)	ag5(tour)	ag6(tour)	ag7(tour)
0.025106	0.046914	0.065156	0.092692	0.106558	0.138356	0.149931
0.024894	0.046925	0.064892	0.092736	0.106278	0.138483	0.149700
0.024683	0.046933	0.064628	0.092778	0.105994	0.138608	0.149467
0.024469	0.046936	0.064358	0.092811	0.105706	0.138728	0.149231
0.024256	0.046939	0.064086	0.092842	0.105411	0.138847	0.148992
0.024039	0.046936	0.063808	0.092867	0.105111	0.138961	0.148747
0.023822	0.046928	0.063531	0.092883	0.104803	0.139072	0.148500
0.023603	0.046917	0.063244	0.092894	0.104489	0.139181	0.148247
0.023383	0.046900	0.062956	0.092900	0.104169	0.139281	0.147989
0.023161	0.046881	0.062664	0.092894	0.103839	0.139378	0.147725
0.022939	0.046853	0.062364	0.092881	0.103503	0.139469	0.147456
0.022714	0.046819	0.062058	0.092850	0.103150	0.139547	0.147172
0.022486	0.046781	0.061747	0.092814	0.102792	0.139622	0.146886
0.022258	0.046736	0.061431	0.092767	0.102419	0.139689	0.146589
0.022028	0.046683	0.061108	0.092706	0.102036	0.139742	0.146281
0.021794	0.046622	0.060778	0.092628	0.101639	0.139783	0.145956
0.021558	0.046553	0.060439	0.092533	0.101222	0.139808	0.145617
0.021319	0.046475	0.060089	0.092419	0.100789	0.139814	0.145258
0.021078	0.046383	0.059728	0.092281	0.100331	0.139794	0.144875
0.020833	0.046283	0.059358	0.092119	0.099850	0.139750	0.144464
0.020583	0.046167	0.058972	0.091925	0.099342	0.139664	0.144014
0.020331	0.046033	0.058572	0.091694	0.098797	0.139533	0.143514
0.020069	0.045883	0.058153	0.091422	0.098211	0.139339	0.142953
0.019803	0.045708	0.057711	0.091097	0.097578	0.139056	0.142303
0.019528	0.045508	0.057242	0.090708	0.096881	0.138644	0.141525
0.019239	0.045269	0.056736	0.090231	0.096103	0.138047	0.140561
0.018933	0.044978	0.056178	0.089633	0.095208	0.137139	0.139292
0.018603	0.044606	0.055539	0.088847	0.094136	0.135678	0.137478
0.018214	0.044075	0.054733	0.087692	0.092711	0.133061	0.134528
0.017647	0.043022	0.053378	0.085350	0.090142	0.127183	0.128414
0.017647	0.043022	0.053378	0.085350	0.090142	0.127183	0.128414
0.017647	0.043022	0.053378	0.085350	0.090142	0.127183	0.128414
0.017647	0.043022	0.053378	0.085350	0.090142	0.127183	0.128414
0.017647	0.043022	0.053378	0.085350	0.090142	0.127183	0.128414
0.017647	0.043022	0.053378	0.085350	0.090142	0.127183	0.128414
0.017647	0.043022	0.053378	0.085350	0.090142	0.127183	0.128414
0.017647	0.043022	0.053378	0.085350	0.090142	0.127183	0.128414
0.017647	0.043022	0.053378	0.085350	0.090142	0.127183	0.128414
0.017647	0.043022	0.053378	0.085350	0.090142	0.127183	0.128414
0.017647	0.043022	0.053378	0.085350	0.090142	0.127183	0.128414
0.017647	0.043022	0.053378	0.085350	0.090142	0.127183	0.128414
0.017647	0.043022	0.053378	0.085350	0.090142	0.127183	0.128414
