 Computed angles file for PUMA motor control
 calc7m_h23.tag
 Eval_MLI v4.0
2	// File format
7	// Number of angle
0	// first slope : rising(1) falling(0)
ag1(tour)	ag2(tour)	ag3(tour)	ag4(tour)	ag5(tour)	ag6(tour)	ag7(tour)
0.029415	0.075643	0.089890	0.145690	0.154216	0.212192	0.221197
0.029377	0.075756	0.089783	0.145833	0.154074	0.212332	0.221056
0.029337	0.075870	0.089676	0.145977	0.153931	0.212472	0.220916
0.029297	0.075984	0.089568	0.146122	0.153788	0.212610	0.220776
0.029256	0.076097	0.089459	0.146266	0.153645	0.212748	0.220635
0.029216	0.076211	0.089350	0.146409	0.153503	0.212887	0.220494
0.029179	0.076325	0.089244	0.146554	0.153362	0.213026	0.220354
0.029139	0.076440	0.089137	0.146698	0.153219	0.213165	0.220214
0.029100	0.076554	0.089030	0.146842	0.153078	0.213304	0.220073
0.029062	0.076670	0.088923	0.146987	0.152938	0.213443	0.219932
0.029022	0.076786	0.088816	0.147132	0.152796	0.213582	0.219791
0.028983	0.076900	0.088710	0.147276	0.152654	0.213721	0.219650
0.028945	0.077016	0.088603	0.147420	0.152512	0.213860	0.219510
0.028906	0.077133	0.088496	0.147563	0.152370	0.213999	0.219370
0.028868	0.077250	0.088389	0.147709	0.152229	0.214136	0.219229
0.028829	0.077367	0.088284	0.147853	0.152088	0.214275	0.219087
0.028790	0.077484	0.088179	0.147996	0.151947	0.214415	0.218947
0.028752	0.077601	0.088074	0.148141	0.151805	0.214554	0.218806
0.028713	0.077718	0.087968	0.148285	0.151663	0.214691	0.218665
0.028675	0.077835	0.087862	0.148431	0.151522	0.214830	0.218525
0.028637	0.077952	0.087757	0.148575	0.151382	0.214970	0.218384
0.028601	0.078069	0.087653	0.148719	0.151240	0.215108	0.218242
0.028563	0.078186	0.087548	0.148864	0.151097	0.215246	0.218100
0.028525	0.078304	0.087444	0.149008	0.150956	0.215384	0.217960
0.028487	0.078424	0.087340	0.149153	0.150817	0.215524	0.217819
0.028449	0.078542	0.087236	0.149298	0.150676	0.215662	0.217677
0.028412	0.078660	0.087132	0.149443	0.150535	0.215800	0.217536
0.028375	0.078780	0.087027	0.149587	0.150394	0.215939	0.217396
0.028337	0.078900	0.086924	0.149730	0.150253	0.216079	0.217255
0.028300	0.079020	0.086823	0.149876	0.150112	0.216216	0.217113
0.028300	0.079020	0.086823	0.149877	0.150111	0.216217	0.217112
