 Computed angles file for PUMA motor control
 t13_7.tag
 Eval_MLI v4.0
2	// File format
7	// Number of angle
0	// first slope : rising(1) falling(0)
ag1(tour)	ag2(tour)	ag3(tour)	ag4(tour)	ag5(tour)	ag6(tour)	ag7(tour)
0.029417	0.075639	0.089889	0.145694	0.154222	0.212194	0.221194
0.029389	0.075750	0.089778	0.145833	0.154083	0.212333	0.221056
0.029333	0.075861	0.089667	0.145972	0.153944	0.212472	0.220917
0.029306	0.075972	0.089556	0.146111	0.153778	0.212611	0.220778
0.029250	0.076083	0.089444	0.146278	0.153639	0.212750	0.220639
0.029222	0.076222	0.089361	0.146417	0.153500	0.212889	0.220500
0.029167	0.076333	0.089250	0.146556	0.153361	0.213028	0.220361
0.029139	0.076444	0.089139	0.146694	0.153222	0.213167	0.220222
0.029111	0.076556	0.089028	0.146833	0.153083	0.213306	0.220083
0.029056	0.076667	0.088917	0.147000	0.152944	0.213444	0.219917
0.029028	0.076778	0.088806	0.147139	0.152806	0.213583	0.219806
0.028972	0.076889	0.088722	0.147278	0.152667	0.213722	0.219639
0.028944	0.077028	0.088611	0.147417	0.152500	0.213861	0.219500
0.028917	0.077139	0.088500	0.147556	0.152361	0.214000	0.219361
0.028861	0.077250	0.088389	0.147722	0.152222	0.214139	0.219222
0.028833	0.077361	0.088278	0.147861	0.152083	0.214278	0.219083
0.028778	0.077472	0.088167	0.148000	0.151944	0.214417	0.218944
0.028750	0.077611	0.088083	0.148139	0.151806	0.214556	0.218806
0.028722	0.077722	0.087972	0.148278	0.151667	0.214694	0.218667
0.028667	0.077833	0.087861	0.148444	0.151528	0.214833	0.218528
0.028639	0.077944	0.087750	0.148583	0.151389	0.214972	0.218389
0.028611	0.078056	0.087639	0.148722	0.151250	0.215111	0.218250
0.028556	0.078194	0.087556	0.148861	0.151111	0.215250	0.218111
0.028528	0.078306	0.087444	0.149000	0.150944	0.215389	0.217972
0.028500	0.078417	0.087333	0.149167	0.150806	0.215528	0.217806
0.028444	0.078556	0.087222	0.149306	0.150667	0.215667	0.217667
0.028417	0.078667	0.087139	0.149444	0.150528	0.215806	0.217528
0.028417	0.078667	0.087139	0.149444	0.150528	0.215806	0.217528
0.028417	0.078667	0.087139	0.149444	0.150528	0.215806	0.217528
0.028417	0.078667	0.087139	0.149444	0.150528	0.215806	0.217528
0.028417	0.078667	0.087139	0.149444	0.150528	0.215806	0.217528
0.028417	0.078667	0.087139	0.149444	0.150528	0.215806	0.217528
0.028417	0.078667	0.087139	0.149444	0.150528	0.215806	0.217528
0.028417	0.078667	0.087139	0.149444	0.150528	0.215806	0.217528
0.028417	0.078667	0.087139	0.149444	0.150528	0.215806	0.217528
0.028417	0.078667	0.087139	0.149444	0.150528	0.215806	0.217528
0.028417	0.078667	0.087139	0.149444	0.150528	0.215806	0.217528
0.028417	0.078667	0.087139	0.149444	0.150528	0.215806	0.217528
0.028417	0.078667	0.087139	0.149444	0.150528	0.215806	0.217528
0.028417	0.078667	0.087139	0.149444	0.150528	0.215806	0.217528
0.028417	0.078667	0.087139	0.149444	0.150528	0.215806	0.217528
0.028417	0.078667	0.087139	0.149444	0.150528	0.215806	0.217528
