 Computed angles file for PUMA motor control
 bon72.tag
 Eval_MLI v4.0
2	// File format
7	// Number of angle
1	// first slope : rising(1) falling(0)
ag1(tour)	ag2(tour)	ag3(tour)	ag4(tour)	ag5(tour)	ag6(tour)	ag7(tour)
0.029811	0.049094	0.119222	0.128353	0.177797	0.185333	0.242489
0.029883	0.048883	0.119383	0.128253	0.177925	0.185217	0.242633
0.029789	0.048719	0.119458	0.128006	0.178125	0.185228	0.242825
0.029758	0.048522	0.119567	0.127836	0.178272	0.185125	0.242969
0.029803	0.048447	0.119717	0.127739	0.178361	0.184986	0.243178
0.029817	0.048308	0.119869	0.127619	0.178456	0.184856	0.243361
0.029761	0.048111	0.120000	0.127508	0.178653	0.184789	0.243525
0.029769	0.047806	0.120167	0.127297	0.178586	0.184606	0.243686
0.029711	0.047683	0.120350	0.127253	0.178742	0.184467	0.243853
0.029653	0.047489	0.120556	0.127194	0.178872	0.184344	0.244017
0.029650	0.047264	0.120781	0.127122	0.178981	0.184247	0.244178
0.029556	0.047042	0.120997	0.127072	0.179106	0.184108	0.244331
0.029450	0.046797	0.121214	0.127011	0.179222	0.183983	0.244489
0.029367	0.046544	0.121453	0.126978	0.179347	0.183869	0.244647
0.029283	0.046292	0.121703	0.126947	0.179472	0.183758	0.244800
0.029161	0.046028	0.121961	0.126950	0.179603	0.183606	0.244933
0.029061	0.045758	0.122236	0.126933	0.179717	0.183506	0.245103
0.028978	0.045497	0.122497	0.126908	0.179839	0.183403	0.245261
0.028881	0.045228	0.122764	0.126897	0.179961	0.183292	0.245414
0.028617	0.045067	0.122536	0.126542	0.179814	0.182747	0.245581
0.028350	0.044906	0.122306	0.126186	0.179664	0.182200	0.245747
0.028503	0.044531	0.122756	0.126164	0.179675	0.182219	0.245919
0.028458	0.044236	0.123125	0.126192	0.179794	0.182178	0.246083
0.028389	0.043947	0.123447	0.126214	0.179936	0.182092	0.246225
0.028278	0.043647	0.123747	0.126225	0.180075	0.182006	0.246378
0.028267	0.043103	0.124211	0.125992	0.180139	0.182097	0.246381
0.027867	0.042506	0.124294	0.126033	0.180400	0.182011	0.246581
0.027867	0.042506	0.124294	0.126033	0.180400	0.182011	0.246581
0.027867	0.042506	0.124294	0.126033	0.180400	0.182011	0.246581
0.027867	0.042506	0.124294	0.126033	0.180400	0.182011	0.246581
0.027867	0.042506	0.124294	0.126033	0.180400	0.182011	0.246581
0.027867	0.042506	0.124294	0.126033	0.180400	0.182011	0.246581
0.027867	0.042506	0.124294	0.126033	0.180400	0.182011	0.246581
0.027867	0.042506	0.124294	0.126033	0.180400	0.182011	0.246581
0.027867	0.042506	0.124294	0.126033	0.180400	0.182011	0.246581
0.027867	0.042506	0.124294	0.126033	0.180400	0.182011	0.246581
0.027867	0.042506	0.124294	0.126033	0.180400	0.182011	0.246581
0.027867	0.042506	0.124294	0.126033	0.180400	0.182011	0.246581
0.027867	0.042506	0.124294	0.126033	0.180400	0.182011	0.246581
0.027867	0.042506	0.124294	0.126033	0.180400	0.182011	0.246581
0.027867	0.042506	0.124294	0.126033	0.180400	0.182011	0.246581
0.027867	0.042506	0.124294	0.126033	0.180400	0.182011	0.246581
