 Computed angles file for PUMA motor control
 calc9m1o.tag
 Eval_MLI v4.0
2	// File format
9	// Number of angle
0	// first slope : rising(1) falling(0)
ag1(tour)	ag2(tour)	ag3(tour)	ag4(tour)	ag5(tour)	ag6(tour)	ag7(tour)	ag8(tour)	ag9(tour)
0.023467	0.036347	0.056164	0.071872	0.089158	0.107089	0.122667	0.142028	0.156736
0.023311	0.036381	0.055989	0.071931	0.088972	0.107178	0.122489	0.142153	0.156581
0.023156	0.036411	0.055814	0.071989	0.088789	0.107267	0.122308	0.142278	0.156422
0.023000	0.036439	0.055636	0.072044	0.088603	0.107356	0.122128	0.142403	0.156264
0.022844	0.036469	0.055461	0.072100	0.088417	0.107444	0.121947	0.142528	0.156106
0.022689	0.036497	0.055283	0.072153	0.088228	0.107528	0.121764	0.142650	0.155947
0.022531	0.036525	0.055103	0.072206	0.088036	0.107614	0.121581	0.142775	0.155786
0.022375	0.036550	0.054925	0.072256	0.087844	0.107697	0.121394	0.142897	0.155625
0.022217	0.036575	0.054742	0.072306	0.087653	0.107781	0.121208	0.143019	0.155464
0.022058	0.036600	0.054561	0.072356	0.087458	0.107861	0.121019	0.143142	0.155303
0.021900	0.036622	0.054378	0.072400	0.087261	0.107939	0.120828	0.143261	0.155139
0.021739	0.036644	0.054192	0.072444	0.087064	0.108017	0.120636	0.143383	0.154975
0.021581	0.036664	0.054006	0.072486	0.086864	0.108092	0.120442	0.143503	0.154811
0.021419	0.036683	0.053819	0.072528	0.086661	0.108167	0.120247	0.143622	0.154644
0.021261	0.036703	0.053631	0.072567	0.086458	0.108239	0.120047	0.143739	0.154481
0.021100	0.036719	0.053442	0.072603	0.086250	0.108308	0.119847	0.143856	0.154311
0.020936	0.036733	0.053250	0.072636	0.086042	0.108375	0.119644	0.143972	0.154142
0.020775	0.036747	0.053056	0.072669	0.085831	0.108439	0.119439	0.144089	0.153972
0.020611	0.036758	0.052861	0.072697	0.085617	0.108503	0.119233	0.144203	0.153803
0.020447	0.036767	0.052664	0.072722	0.085403	0.108561	0.119022	0.144317	0.153628
0.020283	0.036775	0.052464	0.072747	0.085183	0.108617	0.118808	0.144428	0.153456
0.020119	0.036781	0.052264	0.072767	0.084961	0.108672	0.118592	0.144539	0.153278
0.019953	0.036786	0.052061	0.072783	0.084736	0.108719	0.118369	0.144647	0.153100
0.019789	0.036786	0.051858	0.072797	0.084506	0.108767	0.118144	0.144756	0.152919
0.019619	0.036786	0.051650	0.072806	0.084275	0.108808	0.117917	0.144861	0.152739
0.019453	0.036783	0.051442	0.072811	0.084036	0.108844	0.117683	0.144964	0.152553
0.019283	0.036778	0.051228	0.072811	0.083797	0.108878	0.117444	0.145064	0.152367
0.019114	0.036769	0.051014	0.072808	0.083550	0.108903	0.117200	0.145164	0.152175
0.018944	0.036758	0.050797	0.072800	0.083300	0.108922	0.116950	0.145258	0.151983
0.018772	0.036742	0.050575	0.072783	0.083044	0.108936	0.116692	0.145350	0.151786
