 Computed angles file for PUMA motor control
 int15h3.tag
 Eval_MLI v4.0
2	// File format
7	// Number of angle
1	// first slope : rising(1) falling(0)
ag1(tour)	ag2(tour)	ag3(tour)	ag4(tour)	ag5(tour)	ag6(tour)	ag7(tour)
0.038367	0.059258	0.111364	0.121550	0.179125	0.187594	0.245356
0.038433	0.059181	0.111503	0.121419	0.179267	0.187453	0.245494
0.038500	0.059106	0.111639	0.121289	0.179408	0.187308	0.245631
0.038567	0.059028	0.111778	0.121158	0.179550	0.187164	0.245769
0.038633	0.058953	0.111914	0.121028	0.179694	0.187019	0.245908
0.038700	0.058875	0.112053	0.120900	0.179836	0.186878	0.246047
0.038767	0.058800	0.112189	0.120769	0.179978	0.186733	0.246183
0.038833	0.058722	0.112328	0.120639	0.180119	0.186589	0.246322
0.038903	0.058647	0.112464	0.120508	0.180264	0.186444	0.246461
0.038969	0.058572	0.112603	0.120378	0.180406	0.186303	0.246597
0.039036	0.058497	0.112742	0.120250	0.180547	0.186158	0.246736
0.039106	0.058422	0.112881	0.120119	0.180689	0.186014	0.246875
0.039175	0.058347	0.113019	0.119992	0.180833	0.185869	0.247011
0.039242	0.058272	0.113156	0.119861	0.180975	0.185728	0.247150
0.039311	0.058197	0.113294	0.119733	0.181117	0.185583	0.247289
0.039381	0.058122	0.113433	0.119603	0.181258	0.185439	0.247425
0.039450	0.058047	0.113572	0.119475	0.181400	0.185294	0.247564
0.039519	0.057972	0.113711	0.119344	0.181542	0.185150	0.247703
0.039589	0.057897	0.113853	0.119217	0.181683	0.185008	0.247842
0.039658	0.057825	0.113992	0.119089	0.181828	0.184864	0.247978
0.039728	0.057750	0.114131	0.118961	0.181969	0.184719	0.248117
0.039800	0.057678	0.114269	0.118833	0.182111	0.184575	0.248256
0.039869	0.057603	0.114408	0.118703	0.182253	0.184431	0.248392
0.039939	0.057531	0.114550	0.118575	0.182394	0.184286	0.248531
0.040011	0.057458	0.114689	0.118447	0.182536	0.184142	0.248669
0.040083	0.057383	0.114831	0.118319	0.182678	0.184000	0.248808
0.040153	0.057311	0.114969	0.118192	0.182819	0.183856	0.248944
0.040225	0.057239	0.115111	0.118067	0.182961	0.183711	0.249083
0.040297	0.057167	0.115250	0.117939	0.183103	0.183567	0.249222
0.040369	0.057094	0.115392	0.117811	0.183244	0.183422	0.249358
0.040369	0.057094	0.115392	0.117811	0.183244	0.183422	0.249358
0.040369	0.057094	0.115392	0.117811	0.183244	0.183422	0.249358
0.040369	0.057094	0.115392	0.117811	0.183244	0.183422	0.249358
0.040369	0.057094	0.115392	0.117811	0.183244	0.183422	0.249358
0.040369	0.057094	0.115392	0.117811	0.183244	0.183422	0.249358
0.040369	0.057094	0.115392	0.117811	0.183244	0.183422	0.249358
0.040369	0.057094	0.115392	0.117811	0.183244	0.183422	0.249358
0.040369	0.057094	0.115392	0.117811	0.183244	0.183422	0.249358
0.040369	0.057094	0.115392	0.117811	0.183244	0.183422	0.249358
0.040369	0.057094	0.115392	0.117811	0.183244	0.183422	0.249358
0.040369	0.057094	0.115392	0.117811	0.183244	0.183422	0.249358
0.040369	0.057094	0.115392	0.117811	0.183244	0.183422	0.249358
