 Computed angles file for PUMA motor control
 calc6p1o.tag
 Eval_MLI v4.0
2	// File format
6	// Number of angle
1	// first slope : rising(1) falling(0)
ag1(tour)	ag2(tour)	ag3(tour)	ag4(tour)	ag5(tour)	ag6(tour)
0.030058	0.042075	0.191514	0.199131	0.241792	0.248089
0.029714	0.042286	0.191581	0.198922	0.242042	0.247867
0.029597	0.042306	0.191636	0.198719	0.242303	0.247714
0.029464	0.042308	0.191639	0.198494	0.242550	0.247536
0.029369	0.042364	0.191728	0.198242	0.242722	0.247378
0.029303	0.042478	0.191739	0.197922	0.242933	0.247242
0.029172	0.042483	0.191864	0.197661	0.243133	0.247156
0.029014	0.042431	0.192067	0.197450	0.243369	0.247144
0.028911	0.042475	0.192206	0.197172	0.243494	0.247008
0.028786	0.042483	0.192328	0.196931	0.243697	0.246908
0.028744	0.042661	0.192458	0.196475	0.243678	0.246758
0.028631	0.042708	0.192572	0.196117	0.243828	0.246703
0.028506	0.042728	0.192789	0.195789	0.243864	0.246606
0.028406	0.042783	0.193158	0.195394	0.243736	0.246542
0.028308	0.042844	0.193186	0.195136	0.243978	0.246397
0.028144	0.042486	0.193072	0.195017	0.244275	0.246219
0.028808	0.041128	0.192933	0.194878	0.244128	0.246072
0.029714	0.039572	0.192769	0.194714	0.244008	0.245953
0.030692	0.037908	0.192611	0.194556	0.243878	0.245822
0.031758	0.036400	0.192531	0.194475	0.243778	0.245722
0.032928	0.034950	0.192486	0.194431	0.243708	0.245653
0.032850	0.034794	0.192411	0.194356	0.243631	0.245575
0.032850	0.034794	0.192408	0.194353	0.243628	0.245572
0.032278	0.034222	0.192428	0.194372	0.243647	0.245592
0.032267	0.034211	0.192428	0.194372	0.243647	0.245592
0.031478	0.033428	0.192467	0.194411	0.243683	0.245628
0.031472	0.033417	0.192461	0.194406	0.243681	0.245625
