 Computed angles file for PUMA motor control
 int21h3.tag
 Eval_MLI v4.0
2	// File format
10	// Number of angle
1	// first slope : rising(1) falling(0)
ag1(tour)	ag2(tour)	ag3(tour)	ag4(tour)	ag5(tour)	ag6(tour)	ag7(tour)	ag8(tour)	ag9(tour)	ag10(tour)
0.025489	0.044761	0.075861	0.090247	0.124908	0.136842	0.172817	0.184356	0.220264	0.232153
0.025519	0.044717	0.075939	0.090167	0.125006	0.136744	0.172917	0.184253	0.220364	0.232053
0.025550	0.044672	0.076017	0.090086	0.125106	0.136644	0.173019	0.184150	0.220464	0.231953
0.025581	0.044628	0.076092	0.090006	0.125206	0.136544	0.173122	0.184047	0.220561	0.231856
0.025611	0.044583	0.076169	0.089928	0.125306	0.136444	0.173225	0.183944	0.220661	0.231756
0.025642	0.044539	0.076247	0.089847	0.125406	0.136347	0.173328	0.183842	0.220761	0.231656
0.025669	0.044494	0.076325	0.089767	0.125503	0.136247	0.173431	0.183739	0.220858	0.231556
0.025700	0.044450	0.076403	0.089686	0.125603	0.136147	0.173531	0.183639	0.220958	0.231458
0.025731	0.044406	0.076481	0.089608	0.125703	0.136050	0.173633	0.183536	0.221058	0.231358
0.025761	0.044361	0.076561	0.089528	0.125803	0.135950	0.173736	0.183433	0.221158	0.231258
0.025792	0.044317	0.076639	0.089447	0.125903	0.135853	0.173839	0.183331	0.221256	0.231158
0.025822	0.044272	0.076717	0.089369	0.126003	0.135753	0.173942	0.183228	0.221356	0.231061
0.025853	0.044228	0.076794	0.089289	0.126103	0.135656	0.174044	0.183125	0.221456	0.230961
0.025883	0.044183	0.076875	0.089211	0.126203	0.135556	0.174144	0.183022	0.221553	0.230861
0.025917	0.044139	0.076953	0.089131	0.126303	0.135456	0.174247	0.182919	0.221653	0.230761
0.025947	0.044097	0.077031	0.089053	0.126403	0.135358	0.174350	0.182819	0.221753	0.230661
0.025978	0.044053	0.077111	0.088972	0.126503	0.135258	0.174453	0.182717	0.221853	0.230564
0.026008	0.044008	0.077189	0.088894	0.126603	0.135161	0.174556	0.182614	0.221950	0.230464
0.026039	0.043964	0.077269	0.088817	0.126703	0.135061	0.174656	0.182511	0.222050	0.230364
0.026072	0.043922	0.077347	0.088736	0.126803	0.134964	0.174758	0.182408	0.222150	0.230264
0.026103	0.043878	0.077428	0.088658	0.126903	0.134867	0.174861	0.182306	0.222247	0.230164
0.026133	0.043836	0.077506	0.088581	0.127003	0.134767	0.174964	0.182203	0.222347	0.230067
0.026164	0.043792	0.077586	0.088503	0.127103	0.134669	0.175067	0.182100	0.222447	0.229967
0.026197	0.043747	0.077667	0.088422	0.127203	0.134569	0.175167	0.181997	0.222544	0.229867
0.026228	0.043706	0.077744	0.088344	0.127303	0.134472	0.175269	0.181894	0.222644	0.229767
0.026258	0.043661	0.077825	0.088267	0.127403	0.134375	0.175372	0.181792	0.222744	0.229667
0.026292	0.043619	0.077906	0.088189	0.127503	0.134275	0.175475	0.181689	0.222842	0.229567
0.026322	0.043575	0.077986	0.088111	0.127603	0.134178	0.175575	0.181589	0.222942	0.229469
0.026356	0.043533	0.078067	0.088033	0.127706	0.134081	0.175678	0.181486	0.223039	0.229369
0.026386	0.043492	0.078147	0.087956	0.127806	0.133981	0.175781	0.181383	0.223139	0.229269
0.026419	0.043447	0.078228	0.087878	0.127906	0.133883	0.175883	0.181281	0.223239	0.229169
0.026450	0.043406	0.078308	0.087800	0.128006	0.133786	0.175983	0.181178	0.223336	0.229069
0.026483	0.043364	0.078389	0.087722	0.128106	0.133686	0.176086	0.181075	0.223436	0.228969
0.026517	0.043319	0.078469	0.087644	0.128208	0.133589	0.176189	0.180972	0.223536	0.228872
0.026547	0.043278	0.078550	0.087569	0.128308	0.133492	0.176292	0.180869	0.223633	0.228772
0.026581	0.043236	0.078631	0.087492	0.128408	0.133394	0.176392	0.180767	0.223733	0.228672
0.026614	0.043194	0.078711	0.087414	0.128508	0.133297	0.176494	0.180664	0.223831	0.228572
0.026644	0.043153	0.078794	0.087336	0.128611	0.133197	0.176597	0.180561	0.223931	0.228472
0.026678	0.043108	0.078875	0.087261	0.128711	0.133100	0.176700	0.180458	0.224031	0.228372
0.026711	0.043067	0.078956	0.087183	0.128811	0.133003	0.176800	0.180356	0.224128	0.228272
0.026744	0.043025	0.079039	0.087108	0.128914	0.132906	0.176903	0.180253	0.224228	0.228172
0.026775	0.042983	0.079119	0.087031	0.129014	0.132808	0.177006	0.180150	0.224325	0.228075
0.026808	0.042942	0.079200	0.086953	0.129117	0.132711	0.177106	0.180047	0.224425	0.227975
0.026842	0.042900	0.079283	0.086878	0.129217	0.132614	0.177208	0.179944	0.224525	0.227875
0.026875	0.042858	0.079367	0.086800	0.129317	0.132517	0.177311	0.179842	0.224622	0.227775
0.026908	0.042817	0.079447	0.086725	0.129419	0.132419	0.177414	0.179739	0.224722	0.227675
0.026942	0.042775	0.079531	0.086650	0.129519	0.132319	0.177514	0.179636	0.224819	0.227575
0.026975	0.042733	0.079611	0.086572	0.129622	0.132222	0.177617	0.179533	0.224919	0.227475
0.027008	0.042694	0.079694	0.086497	0.129722	0.132125	0.177719	0.179431	0.225019	0.227375
0.027042	0.042653	0.079778	0.086422	0.129825	0.132028	0.177819	0.179328	0.225117	0.227275
0.027075	0.042611	0.079861	0.086344	0.129925	0.131933	0.177922	0.179225	0.225217	0.227175
0.027108	0.042569	0.079944	0.086269	0.130028	0.131836	0.178025	0.179122	0.225314	0.227075
0.027142	0.042528	0.080025	0.086194	0.130128	0.131739	0.178125	0.179019	0.225414	0.226978
0.027178	0.042489	0.080108	0.086119	0.130231	0.131642	0.178228	0.178917	0.225511	0.226878
0.027211	0.042447	0.080192	0.086044	0.130331	0.131544	0.178331	0.178814	0.225611	0.226778
0.027244	0.042406	0.080275	0.085967	0.130433	0.131447	0.178431	0.178711	0.225708	0.226678
0.027278	0.042367	0.080358	0.085892	0.130533	0.131350	0.178533	0.178608	0.225808	0.226578
0.027278	0.042367	0.080358	0.085892	0.130533	0.131350	0.178533	0.178608	0.225808	0.226578
0.027278	0.042367	0.080358	0.085892	0.130533	0.131350	0.178533	0.178608	0.225808	0.226578
0.027278	0.042367	0.080358	0.085892	0.130533	0.131350	0.178533	0.178608	0.225808	0.226578
0.027278	0.042367	0.080358	0.085892	0.130533	0.131350	0.178533	0.178608	0.225808	0.226578
0.027278	0.042367	0.080358	0.085892	0.130533	0.131350	0.178533	0.178608	0.225808	0.226578
0.027278	0.042367	0.080358	0.085892	0.130533	0.131350	0.178533	0.178608	0.225808	0.226578
0.027278	0.042367	0.080358	0.085892	0.130533	0.131350	0.178533	0.178608	0.225808	0.226578
0.027278	0.042367	0.080358	0.085892	0.130533	0.131350	0.178533	0.178608	0.225808	0.226578
0.027278	0.042367	0.080358	0.085892	0.130533	0.131350	0.178533	0.178608	0.225808	0.226578
0.027278	0.042367	0.080358	0.085892	0.130533	0.131350	0.178533	0.178608	0.225808	0.226578
0.027278	0.042367	0.080358	0.085892	0.130533	0.131350	0.178533	0.178608	0.225808	0.226578
0.027278	0.042367	0.080358	0.085892	0.130533	0.131350	0.178533	0.178608	0.225808	0.226578
